Station,metro,coor
Кутузовская,"Москва, станция метро Кутузовская","(55.7401932, 37.534024)"
Тушинская,"Москва, станция метро Тушинская","(55.8236276, 37.4389916)"
Коломенская,"Москва, станция метро Коломенская","(55.6779968, 37.6644986)"
Нагорная,"Москва, станция метро Нагорная","(55.6721497, 37.6091888)"
Крымская,"Москва, станция метро Крымская","(55.690004, 37.605492)"
Бунинская аллея,"Москва, станция метро Бунинская аллея","(55.5367929, 37.5137815)"
Лихоборы,"Москва, станция метро Лихоборы","(55.848349, 37.552218)"
Бауманская,"Москва, станция метро Бауманская","(55.7732758, 37.6792675)"
Бульвар Рокоссовского,"Москва, станция метро Бульвар Рокоссовского","(55.8127106, 37.7345117)"
Черкизовская,"Москва, станция метро Черкизовская","(55.8009926, 37.745178)"
Коньково,"Москва, станция метро Коньково","(55.6340731, 37.5223529)"
Менделеевская,"Москва, станция метро Менделеевская","(55.7819789, 37.6016624)"
улица Дмитриевского,"Москва, станция метро улица Дмитриевского","(55.7069915, 37.8820168)"
Раменки,"Москва, станция метро Раменки","(55.6926414, 37.4966387)"
Баррикадная,"Москва, станция метро Баррикадная","(55.7619156, 37.579475)"
Багратионовская,"Москва, станция метро Багратионовская","(55.7430682, 37.4986144)"
Бабушкинская,"Москва, станция метро Бабушкинская","(55.8693181, 37.6660768)"
Кропоткинская,"Москва, станция метро Кропоткинская","(55.7448351, 37.6009851)"
Сухаревская,"Москва, станция метро Сухаревская","(55.7730842, 37.6317157)"
Красные ворота,"Москва, станция метро Красные ворота","(55.7690709, 37.648888)"
Печатники,"Москва, станция метро Печатники","(55.6901385, 37.7289076)"
Рязанский проспект,"Москва, станция метро Рязанский проспект","(55.7176706, 37.7959664)"
Римская,"Москва, станция метро Римская","(55.7468622, 37.6813566)"
Локомотив,"Москва, станция метро Локомотив","(55.803163, 37.745065)"
Ленинский проспект,"Москва, станция метро Ленинский проспект","(55.707803, 37.5899822)"
Чеховская,"Москва, станция метро Чеховская","(55.7658919, 37.6086031)"
Щёлковская,"Москва, станция метро Щёлковская","(55.8085536, 37.7988586)"
Ховрино,"Москва, станция метро Ховрино","(55.8750209, 37.4794958)"
Шелепиха,"Москва, станция метро Шелепиха","(55.7548807, 37.5267227)"
Лубянка,"Москва, станция метро Лубянка","(55.759582, 37.627387)"
Лужники,"Москва, станция метро Лужники","(55.720656, 37.559604)"
Новохохловская,"Москва, станция метро Новохохловская","(55.723877, 37.716275)"
Новоясеневская,"Москва, станция метро Новоясеневская","(55.600424, 37.554459)"
Панфиловская,"Москва, станция метро Панфиловская","(55.797811, 37.498749)"
Площадь Гагарина,"Москва, станция метро Площадь Гагарина","(55.706493, 37.586401)"
Плющиха,"Москва, станция метро Плющиха","(55.745628, 37.580646)"
Ростокино,"Москва, станция метро Ростокино","(55.838995, 37.667767)"
